location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,best_action,random_action,reward_random,best_action_reward_based,best_gain_reward_based,reward_best
21,19.001081,89126378.19978923,0,5351808,11834880,300381,6265,3,1.0,11,11,0.4283921843841795,11,1.0,0.4283921843841795
21,20.000089,86068612.07204026,559,3806792,11851264,267759,3053,3,1.0,11,7,0.3281201704693035,11,1.0,0.3281201704693035
21,21.000763,145653891.91889793,0,3806792,11841536,282451,1062,1,1.2,4,11,0.7065210944211606,1,1.05,0.7029884889490549
21,22.000877,98554912.28001264,3,1904120,11806208,265675,1208,3,1.0,11,11,0.47757395743348197,11,1.0,0.47757395743348197
21,23.000314,45114168.426086955,1,4469976,11853824,266481,3474,2,0.9,6,6,0.21867298970875707,6,0.9,0.21867298970875707
21,24.001056,163456577.98326972,0,4506176,11822592,271823,3054,3,1.0,11,11,0.890845378285908,11,1.0,0.890845378285908
21,25.000336,133265106.08925761,0,4937680,11855360,263538,1982,3,1.0,11,3,0.7154060499215233,11,1.0,0.7263005582959627
21,26.001089,135164519.02367586,1,7880016,11851776,264688,538,3,1.0,11,2,0.7290779683030403,11,1.0,0.7364444927076319
21,27.000705,211893713.49062553,2,15606544,11830784,274795,2324,3,1.0,11,11,0.9924826840702284,11,1.0,0.9924826840702284
21,28.000392,212927570.9206672,2,15606544,7324160,275692,3299,3,1.0,11,5,0.9679125730631504,11,1.0,0.9927424438138591
21,29.001107,165556632.14078945,3,5576248,5882880,268506,3074,3,1.0,11,11,0.7715558028085351,11,1.0,0.7715558028085351
21,30.000838,152084430.06713468,2091,9343944,8381440,272870,2907,3,1.0,11,11,0.3485944719227021,11,1.0,0.3485944719227021
21,31.00046,114338005.21316564,1,9342496,11840512,277444,1716,3,1.0,11,11,0.5392429426757587,11,1.0,0.5392429426757587
21,32.001056,222165690.92910892,3,11681016,4163072,267114,1272,1,1.1,2,2,0.9893214209097216,1,1.05,0.9943214209097216
21,33.001103,47183703.85408896,3825,6679624,10337280,309038,10335,2,0.9,6,5,-0.26830517698619616,6,0.9,-0.24330517698619614
21,34.000157,136443953.97708717,0,4992704,11845632,279423,1080,3,1.0,11,7,0.6394127580505935,11,1.0,0.6394127580505935
21,35.000178,89127090.03923334,1,4992704,11856896,271832,2835,3,1.0,11,11,0.4174576435771116,11,1.0,0.4174576435771116
21,36.001107,210568158.60316914,1,7842368,11860480,266309,2430,3,1.0,11,8,0.9865601950141304,11,1.0,0.9865601950141304
21,37.001132,71301383.0446845,1643,3841544,7968256,277247,5101,3,1.0,11,6,0.015337238055912528,11,1.0,0.015337238055912528
21,38.0006,146878775.31575757,1,6277080,11843072,284127,4506,3,1.0,11,4,0.6743173569059382,11,1.0,0.6880836191823178
21,39.001096,126814792.07722361,3,6275632,11826688,275450,3664,3,1.0,11,11,0.5935994537592968,11,1.0,0.5935994537592968
21,40.000641,203516348.38702026,0,7370320,11852800,279688,5857,1,1.15,3,3,0.9394259082201403,1,1.05,0.9489632270853193
21,41.000783,213879137.81133875,2,7383352,11821056,272496,3226,3,1.0,11,11,0.9976075516999976,11,1.0,0.9976075516999976
21,42.000271,138482935.80302358,2,7465888,11853824,293586,1256,3,1.0,11,8,0.6457713356776019,11,1.0,0.6457713356776019
21,43.001092,136203058.05518794,1,8482384,11850240,276929,3282,2,0.9,6,10,0.6353617855651075,6,0.9,0.6353617855651075
21,44.000701,226581010.64107785,1,12464384,11857920,270834,2479,3,1.0,11,6,0.9997705053633413,11,1.0,0.9997705053633413
21,45.001055,323895308.3510958,0,12464384,11837440,278880,2885,3,1.0,11,2,0.99,11,1.0,1.0
21,46.001096,236968458.39849937,1,12464384,11852800,291217,4711,3,1.0,11,11,0.9817594157762558,11,1.0,0.9817594157762558
21,47.000937,213943526.41042036,1448,3973312,9394176,276614,2404,3,1.0,11,8,0.5958606661392433,11,1.0,0.5958606661392433
21,48.000133,131177467.6092017,1,6355272,11804672,277314,5274,3,1.0,11,5,0.5297754219454106,11,1.0,0.5433652916013612
21,49.001091,93233949.06066185,2,6355272,8949760,276534,2907,3,1.0,11,3,0.37884369909735166,11,1.0,0.38589919819702895
21,50.000565,183597374.23660982,0,7258824,11854336,278202,3767,3,1.0,11,11,0.7608210252948259,11,1.0,0.7608210252948259
21,51.000713,106938918.8442244,730,6356720,11843072,331809,2986,3,1.0,11,6,0.24620224087067902,11,1.0,0.24620224087067902
21,52.000525,114316274.66509567,1231,5095512,11859456,277162,11137,3,1.0,11,11,0.17084626761877664,11,1.0,0.17084626761877664
21,53.000656,91214161.94058934,0,6356720,11853824,296092,3778,3,1.0,11,11,0.37798826098466815,11,1.0,0.37798826098466815
21,54.001096,92234104.85664345,2,6353824,8365056,277521,3578,3,1.0,11,11,0.3815293503612925,11,1.0,0.3815293503612925
21,55.000955,211842226.9631044,1,7464440,11857920,268595,1611,1,1.15,3,5,0.8555772694603065,1,1.05,0.8731346033806813
21,56.000645,146846162.86225834,3,7464440,11845632,291024,5535,3,1.0,11,11,0.6074970290050287,11,1.0,0.6074970290050287
21,57.001083,96426759.49677764,2,7473128,11856896,342291,8346,3,1.0,11,11,0.39878447926559685,11,1.0,0.39878447926559685
21,58.00106,96471211.5510661,406,5648648,9975808,378975,4785,3,1.0,11,2,0.23201121528665575,11,1.0,0.24201121528665576
21,59.000176,137484992.2501181,302,5060760,11830784,272097,4619,3,1.0,11,1,0.44772535975240113,11,1.0,0.45057402447871636
21,60.001087,90095459.27168533,21,5648648,11857920,310498,14784,3,1.0,11,11,0.3649048761736674,11,1.0,0.3649048761736674
21,61.001076,80741242.32231747,390,5083928,11855360,470084,12088,3,1.0,11,11,0.18264609338622,11,1.0,0.18264609338622
21,62.001083,0.0,1909,3971864,11809280,434624,3115,2,0.9,6,9,-0.43045255471128485,6,0.9,-0.43045255471128485
21,63.001086,89128694.37579162,1392,4454048,11577344,394676,25649,3,1.0,11,1,-0.004550705000012867,11,1.0,0.0004492949999871376
21,64.001087,0.0,2760,1875160,11106304,310798,25364,3,1.0,11,3,-0.45912134781876957,11,1.0,-0.44412134781876955
21,65.000507,68196995.1299816,11,876040,11851264,345666,1683,3,1.0,11,11,0.3142387671283987,11,1.0,0.3142387671283987
21,66.001077,44015100.80345796,282,3793760,11859456,339703,3811,3,1.0,11,5,0.11095471698389098,11,1.0,0.13595471698389097
21,67.001097,53476305.02144866,588,3032112,7269376,328742,3129,3,1.0,11,11,0.1428661923483809,11,1.0,0.1428661923483809
21,68.000202,59822374.421717435,2,4454048,11845632,275457,2253,3,1.0,11,1,0.32094892413817355,11,1.0,0.32283522686719446
21,69.000532,72327877.87513657,2,4454048,11852800,278766,2222,3,1.0,11,8,0.39042902909644817,11,1.0,0.39042902909644817
21,70.000723,171933629.270556,2,4480112,11853824,303212,2230,1,1.2,4,4,0.9680151840847,1,1.05,0.9830151840847
21,71.000887,65001049.748950176,1,3816928,11808768,301675,1388,3,1.0,11,11,0.37346554461309217,11,1.0,0.37346554461309217
21,72.001077,51370462.604856476,5,3814032,6943232,272458,2849,2,0.9,6,2,0.29106687911498363,6,0.9,0.29407258673742137
21,73.000633,108051302.23782167,1,4481560,11820032,267839,2067,3,1.0,11,4,0.6085569470660472,11,1.0,0.6209817026258891
21,74.001053,137305791.09278062,0,4493144,11853824,269177,2407,3,1.0,11,11,0.7894355995467858,11,1.0,0.7894355995467858
21,75.00017,137484852.8163503,0,4627808,11853824,268079,2213,3,1.0,11,11,0.9283211010578036,11,1.0,0.9283211010578036
21,76.000237,134208736.60238427,0,6376992,11855360,271809,813,3,1.0,11,11,0.964091803788252,11,1.0,0.964091803788252
21,77.000314,140498364.3332139,1,15916416,11833344,272448,3537,3,1.0,11,11,0.988680633049284,11,1.0,0.988680633049284
21,78.000771,154070254.4342369,3,9581416,6709248,275298,2096,3,1.0,11,2,0.9835256727259841,11,1.0,0.9934680353349463
21,79.000339,135324766.2565405,0,9581416,11859456,285426,1698,3,1.0,11,10,0.8732690817161349,11,1.0,0.8732690817161349
21,80.000097,221303090.2098434,1,9692912,7443456,291385,3754,1,1.1,2,10,0.999743924633795,1,1.05,0.994743924633795
21,81.000521,146738418.88346094,2,13554728,9598464,292893,12109,3,1.0,11,11,0.840867723460472,11,1.0,0.840867723460472
21,82.000545,0.0,4256,9529288,9769984,309072,995,2,0.9,6,6,-0.4526473548850773,6,0.9,-0.4526473548850773
21,83.000786,121605504.0653834,467,6699896,11849728,270046,1997,3,1.0,11,4,0.6017217188062849,11,1.0,0.6156671360288348
21,84.001094,89101513.45454615,0,15916416,11851264,282515,2636,3,1.0,11,2,0.5053195527811022,11,1.0,0.5108970148325731
21,85.000162,129095161.87991633,3,15916416,11853824,322303,2378,3,1.0,11,1,0.7332736398814265,11,1.0,0.7382736398814265
21,86.000451,117406585.80342633,474,6552200,11853824,285105,6749,3,1.0,11,5,0.3830116561771183,11,1.0,0.39984152580645244
21,87.000125,168875785.757499,0,6550752,11848704,267805,2296,3,1.0,11,11,0.9683127870215689,11,1.0,0.9683127870215689
21,88.000194,227525287.70894438,0,4578576,11812864,268399,2812,3,1.0,11,5,0.975,11,1.0,1.0
21,89.000336,135247101.85128772,0,6552200,11857920,268417,2515,3,1.0,11,3,0.6011275237441631,11,1.0,0.6102817499940743
21,90.000857,181309195.95428273,0,6552200,11811328,273822,1512,3,1.0,11,11,0.8181298666101116,11,1.0,0.8181298666101116
21,91.000878,186642612.08215922,1,7693224,11857920,272021,3002,3,1.0,11,11,0.8414431886705342,11,1.0,0.8414431886705342
21,92.000218,182572722.4042157,0,7700464,11815424,288036,750,3,1.0,11,11,0.8238313354214489,11,1.0,0.8238313354214489
21,93.000173,114299927.66897285,343,4455496,11853824,275229,3446,3,1.0,11,9,0.2782682128863867,11,1.0,0.2782682128863867
21,94.00106,200100519.57078,0,3447688,11859456,270928,5238,1,1.15,3,2,0.8938935966164235,1,1.05,0.8984082107407488
21,95.000383,116470785.50529152,1,4454048,11835904,267552,1045,3,1.0,11,11,0.5248036116487679,11,1.0,0.5248036116487679
21,96.00011,93348747.20664206,1,4452600,11832320,269185,1388,2,0.9,6,6,0.4204689693298098,6,0.9,0.4204689693298098
21,97.001062,141423124.42379373,2,4850800,11849728,288364,4384,3,1.0,11,11,0.6366443093907534,11,1.0,0.6366443093907534
21,98.000075,121754987.35832706,1,5231624,11822592,335186,1837,3,1.0,11,7,0.5486477599525028,11,1.0,0.5486477599525028
21,99.0005,126823798.28051305,3,5247552,11826688,271362,1446,3,1.0,11,4,0.5585687495192746,11,1.0,0.5700142072771245
21,100.00054,89125390.1429882,540,2981432,11843072,268059,2248,3,1.0,11,8,0.12689963013938,11,1.0,0.12689963013938
21,101.000834,90151034.29071034,1,2981432,11856896,267731,1831,3,1.0,11,4,0.4378251952180099,11,1.0,0.44677444301289876
21,102.001066,44029977.86948705,0,3499816,11838976,448163,1091,3,1.0,11,11,0.21854168699100296,11,1.0,0.21854168699100296
21,103.000139,106004439.08707489,14,3507056,11856896,267753,1259,3,1.0,11,11,0.5115193773718747,11,1.0,0.5115193773718747
21,104.000762,91169314.63406305,1,3595384,11831808,268449,2084,3,1.0,11,11,0.4514712311080866,11,1.0,0.4514712311080866
21,105.001043,133131745.13544223,0,1796968,11851264,269010,1647,1,1.25,5,5,0.6442761646097867,1,1.05,0.6574920859351155
21,106.000495,45113490.423014,0,3837200,11856896,266595,1303,2,0.9,6,5,0.21832168242315028,6,0.9,0.22391967428015414
21,107.000233,98591977.26888525,1,3837200,11821056,287080,3288,3,1.0,11,6,0.4879457734140541,11,1.0,0.4879457734140541
21,108.00109,113149239.60148917,1,3837200,11855360,291940,9262,3,1.0,11,11,0.6026439548955875,11,1.0,0.6026439548955875
21,109.000317,90247298.3021412,0,4510520,11847168,280075,1192,3,1.0,11,11,0.48179298941949966,11,1.0,0.48179298941949966
21,110.00107,137260092.9620274,0,4585816,11857920,266509,3148,3,1.0,11,11,0.7327748504423051,11,1.0,0.7327748504423051
21,111.000837,89149731.40212363,2,5513984,11843072,281306,2546,3,1.0,11,3,0.4752358903825482,11,1.0,0.48313833913669085
21,112.000293,130094196.75119711,807,1637688,11807232,270903,2794,3,1.0,11,9,0.4527848545945106,11,1.0,0.4527848545945106
21,113.000429,89116838.5237365,0,4096392,11804672,277863,2819,3,1.0,11,8,0.6173364791172521,11,1.0,0.6173364791172521
21,114.000779,90145985.0427869,0,4096392,11856896,269919,2827,3,1.0,11,1,0.6524798175818756,11,1.0,0.6557586106350508
21,115.00035,133226302.70370188,0,4810256,11847168,267072,1329,3,1.0,11,11,0.9691423874236624,11,1.0,0.9691423874236624
21,116.001085,133071338.647165,0,4814600,11816960,277193,5223,3,1.0,11,8,0.9680151157613165,11,1.0,0.9680151157613165
21,117.000788,136355378.90357712,0,4868176,11843072,278117,2141,3,1.0,11,1,0.9946700196363648,11,1.0,0.9996683614435827
21,118.000661,112211884.87286425,1,5493712,11845632,277226,1912,3,1.0,11,11,0.8217621145388937,11,1.0,0.8217621145388937
21,119.000277,180424350.10092866,0,11793960,11853824,283826,1759,1,1.15,3,5,0.975,1,1.05,0.995
21,120.001085,137252555.85737786,1,14314928,11852800,286578,2437,3,1.0,11,1,0.9703953746045629,11,1.0,0.975317703672153
21,121.001083,199229843.75081822,2,9291816,11859456,276941,3179,3,1.0,11,1,0.9767099029485388,11,1.0,0.9817099029485388
21,122.001088,93322796.7523394,877,7602000,8182272,284255,5151,2,0.9,6,6,0.1178269861172449,6,0.9,0.1178269861172449
21,123.00105,142611759.2062324,0,16809832,11826688,314536,1456,3,1.0,11,11,0.7863262164632847,11,1.0,0.7863262164632847
21,124.000507,190944514.54944953,2846,9022488,11845632,278128,1031,3,1.0,11,11,0.5007667073459361,11,1.0,0.5007667073459361
21,125.000817,224325735.54993656,1,9022488,11837440,276897,3280,3,1.0,11,7,0.9994879411898232,11,1.0,0.9994879411898232
21,126.00012,172086411.10513732,0,9008008,11803136,274445,4156,3,1.0,11,10,0.8583521038286889,11,1.0,0.8583521038286889
21,127.000375,186598947.38251838,506,8001648,11815424,272339,5613,3,1.0,11,5,0.6693146767840541,11,1.0,0.6925831612084501
21,128.000303,183514013.45140037,0,8001648,11845632,273189,4556,3,1.0,11,11,0.9153519938992636,11,1.0,0.9153519938992636
21,129.000133,189824524.7354413,2,8816872,11849728,270064,2746,3,1.0,11,3,0.9316017365457775,11,1.0,0.9458041607045392
21,130.000422,220137348.38142437,0,9396072,11827712,279402,6360,3,1.0,11,5,0.9740733520779118,11,1.0,0.9990495918747814
21,131.0008,229551370.6764146,0,9414896,11853824,273488,1895,3,1.0,11,9,1.0,11,1.0,1.0
21,132.000132,274910549.2927382,0,9611824,11834880,274135,1109,1,1.05,1,1,0.995,1,1.05,0.995
21,133.000652,228470765.27633768,0,8478040,11857920,278322,2331,3,1.0,11,11,0.9855552842096189,11,1.0,0.9855552842096189
21,134.001097,120532601.99435653,3,8476592,11849728,270518,2692,2,0.9,6,6,0.5184058111274966,6,0.9,0.5184058111274966
21,135.000591,208772259.3872978,0,8473696,11857920,265308,1525,3,1.0,11,11,0.9005817579621965,11,1.0,0.9005817579621965
21,136.001094,228474658.04327244,1,9959344,11852800,272826,4668,3,1.0,11,9,0.9850600176442533,11,1.0,0.9850600176442533
21,137.00006,224627533.671806,0,9978168,11806208,274050,1725,3,1.0,11,11,0.968976720156987,11,1.0,0.968976720156987
21,138.000086,277865418.93765825,0,10243152,11853824,277492,1343,3,1.0,11,11,1.0,11,1.0,1.0
21,139.000577,321754842.9512667,0,5293888,11855360,274240,1036,3,1.0,11,11,1.0,11,1.0,1.0
21,140.000967,219066936.3291029,1,10066496,7459328,276077,2211,3,1.0,11,11,0.7817025461476855,11,1.0,0.7817025461476855
21,141.000853,101723470.88504761,1,8714064,11834368,278275,1682,3,1.0,11,11,0.36270836106073073,11,1.0,0.36270836106073073
21,142.001071,158300461.1504035,2671,8356408,11834880,269184,2325,3,1.0,11,11,0.18520666134108854,11,1.0,0.18520666134108854
21,143.000782,149989718.4667786,772,7371768,11849728,331133,6052,3,1.0,11,11,0.395426148920958,11,1.0,0.395426148920958
21,144.000127,148995383.29685456,407,6278528,11856384,270688,1648,3,1.0,11,8,0.3133490211149417,11,1.0,0.3133490211149417
21,145.000916,192785867.02733254,0,6278528,11799040,268712,1548,1,1.15,3,3,0.6780481093816122,1,1.05,0.6849318465326946
21,146.001092,148871597.60897937,3,7371768,11862016,284892,1977,3,1.0,11,11,0.5298423744944746,11,1.0,0.5298423744944746
21,147.000745,134264320.16833234,263,5366288,11847680,274932,3173,3,1.0,11,1,0.32969468600643537,11,1.0,0.332379209243184
21,148.001089,98532245.1624886,50,5366288,11821056,274707,2432,2,0.9,6,4,0.31248565784634613,6,0.9,0.32305393979298397
21,149.000338,228761372.02800757,0,6301696,11808768,270152,2342,3,1.0,11,11,0.8168301855542697,11,1.0,0.8168301855542697
21,150.00019,136335057.36121583,0,5366288,11843072,264629,1058,3,1.0,11,10,0.4868067944105513,11,1.0,0.4868067944105513
21,151.001083,89049439.13687535,1,5366288,11838976,266923,1890,3,1.0,11,8,0.31738963065866516,11,1.0,0.31738963065866516
21,152.000789,164674851.29921263,1,5366288,11859456,269014,1536,3,1.0,11,11,0.5874226301181068,11,1.0,0.5874226301181068
21,153.000909,179284973.95858666,0,6301696,11837440,279314,1417,3,1.0,11,11,0.6401665510545864,11,1.0,0.6401665510545864
21,154.001131,148864748.83451536,2,6304592,11848704,292052,2647,3,1.0,11,8,0.5303939850234723,11,1.0,0.5303939850234723
21,155.000372,184689556.3976994,0,6365408,11848704,263754,1218,3,1.0,11,2,0.6528698584556512,11,1.0,0.6594645034905567
21,156.000478,224371485.76994687,0,7047416,11837440,265503,2394,1,1.1,2,7,0.8011553730850787,1,1.05,0.7971495962196533
21,157.000852,92240193.89939804,693,5341672,11841536,276761,2276,2,0.9,6,10,-0.0022211183091793707,6,0.9,-0.0022211183091793707
21,158.000939,164612106.99660164,2,5332984,9804800,266033,3520,3,1.0,11,11,0.7040934367216981,11,1.0,0.7040934367216981
21,159.000059,155325935.2852177,123,5341672,11849728,269178,1611,3,1.0,11,11,0.6212086504386954,11,1.0,0.6212086504386954
21,160.000343,92248493.43811683,170,5096960,11849728,273396,3652,3,1.0,11,11,0.31404145176842546,11,1.0,0.31404145176842546
21,161.000918,167675755.42746225,0,5341672,11835904,276076,1122,3,1.0,11,11,0.7465827673293377,11,1.0,0.7465827673293377
21,162.000208,96537534.6660145,172,5094064,11853824,272317,2494,3,1.0,11,11,0.3090543317949719,11,1.0,0.3090543317949719
21,163.000543,120545859.77649069,72,5040488,11707904,269717,3220,3,1.0,11,11,0.452304147988744,11,1.0,0.452304147988744
21,164.000778,133137869.72513053,38,6271288,10125824,270123,1303,3,1.0,11,6,0.5266418116211442,11,1.0,0.5266418116211442
21,165.001082,180300263.66084108,1,6271288,11848704,270618,2746,3,1.0,11,3,0.7890006626134497,11,1.0,0.8010425707698455
21,166.000639,129032006.82031253,21,6284320,11855360,286653,1326,3,1.0,11,11,0.5378085866604372,11,1.0,0.5378085866604372
21,167.00065,183498787.52207136,0,6453736,11849728,278348,749,3,1.0,11,11,0.817035427933838,11,1.0,0.817035427933838
21,168.001104,150926431.10136008,2,8123280,11405824,271182,3114,3,1.0,11,11,0.6669820605490211,11,1.0,0.6669820605490211
21,169.000568,273825112.98857224,0,16389912,11848704,276825,1007,3,1.0,11,11,1.0,11,1.0,1.0
21,170.000947,287200984.49650735,1,13957272,11829248,272455,1597,1,1.05,1,4,0.9774880894573793,1,1.05,0.9924880894573793
21,171.000334,119610982.4423111,557,7706256,8628736,271273,1842,2,0.9,6,5,0.04699070652203985,6,0.9,0.057884480443979036
21,172.000507,136291305.32777423,0,7706256,11852800,269512,4747,3,1.0,11,11,0.49651850940455183,11,1.0,0.49651850940455183
21,173.00105,229513518.54641116,0,16389912,11857920,275316,2258,3,1.0,11,3,0.8235913816743712,11,1.0,0.8361333824105291
21,174.00029,265491506.54299125,1,16389912,11847168,277108,617,3,1.0,11,9,0.9663183752878313,11,1.0,0.9663183752878313
21,175.001068,111062653.71750446,699,3884984,11852800,279982,1767,3,1.0,11,2,0.012567636998988859,11,1.0,0.02239755865230031
21,176.001081,185595540.4063358,0,6601432,11844608,278702,4938,3,1.0,11,1,0.6715485738546435,11,1.0,0.6761371963755559
21,177.001079,181404015.625745,0,6601432,11848704,269956,3250,3,1.0,11,10,0.6608671860752945,11,1.0,0.6608671860752945
21,178.000435,173126538.37059346,1,7751144,11841536,273767,1438,3,1.0,11,11,0.6298269743501541,11,1.0,0.6298269743501541
21,179.001071,166617618.267252,1,7751144,11853824,275073,2961,3,1.0,11,11,0.6061145350293031,11,1.0,0.6061145350293031
21,180.000845,170956527.73338395,2,7769968,11857920,279159,2622,3,1.0,11,3,0.6069212786107636,11,1.0,0.6210366850931681
21,181.000246,223480558.81719118,0,8033504,11849728,275845,1379,1,1.1,2,1,0.810084124659011,1,1.05,0.810084124659011
21,182.001053,225262042.96872875,0,4433776,11844608,278552,3827,3,1.0,11,11,0.8206449672726447,11,1.0,0.8206449672726447
21,183.00066,183572939.28632227,0,8705376,11837440,266162,2283,3,1.0,11,11,0.6687687227167711,11,1.0,0.6687687227167711
21,184.000976,166670912.0206005,2,8702480,11847168,278344,1560,3,1.0,11,2,0.596429195565452,11,1.0,0.6054238951175017
21,185.001102,182429237.14644054,2,10221432,7897088,271273,4039,3,1.0,11,2,0.6561865256210259,11,1.0,0.6628325470001535
21,186.000804,230755490.4952047,138,7510776,8417280,275920,7220,3,1.0,11,9,0.7209263780739166,11,1.0,0.7209263780739166
21,187.000082,90242690.41590594,1069,7045968,11859456,272575,2412,2,0.9,6,6,-0.1227013135545098,6,0.9,-0.1227013135545098
21,188.000798,169747777.5151658,1,7018456,11841536,267912,2072,3,1.0,11,11,0.617706822846606,11,1.0,0.617706822846606
21,189.000633,175141087.76738715,0,8818320,11818496,267547,4359,3,1.0,11,11,0.6570000435816659,11,1.0,0.6570000435816659
21,190.000849,276764280.913579,0,8824112,11843072,274157,1674,3,1.0,11,11,1.0,11,1.0,1.0
21,191.001097,112169818.89640707,7,8854520,11859456,272739,3991,3,1.0,11,11,0.416732539107652,11,1.0,0.416732539107652
21,192.000513,148984800.06325793,2,8926920,11849728,279764,4461,3,1.0,11,4,0.538596788946631,11,1.0,0.5585853579182055
21,193.000572,217042424.6307449,1,10671760,11827712,287311,1980,3,1.0,11,11,0.8150839492251022,11,1.0,0.8150839492251022
21,194.00109,228471228.045879,0,5668920,11848704,278708,1326,1,1.1,2,4,0.9607213318685832,1,1.05,0.9754262502135105
21,195.001085,216007737.50541487,1,11844640,6851072,273083,4036,3,1.0,11,5,0.9009834519537246,11,1.0,0.9241546857312207
21,196.000957,106968440.87678161,756,9274440,11844608,266279,4653,2,0.9,6,6,0.08278460543479338,6,0.9,0.08278460543479338
21,197.000741,224443745.4723487,0,9274440,11856896,278368,827,3,1.0,11,11,0.9630467049554202,11,1.0,0.9630467049554202
21,198.001092,243184285.95237878,2,15176488,6550016,273757,4107,3,1.0,11,11,0.991848869359701,11,1.0,0.991848869359701
21,199.000093,106012079.29462157,792,6789672,11859456,264768,1490,3,1.0,11,10,0.05606616578775503,11,1.0,0.05606616578775503
21,200.000311,185557494.19616833,0,6789672,11838976,270158,3645,3,1.0,11,11,0.7578003932495454,11,1.0,0.7578003932495454
21,201.00108,181264252.32294187,0,7972688,11851264,270624,2127,3,1.0,11,11,0.7402671731878055,11,1.0,0.7402671731878055
21,202.000136,154286321.1204444,637,6779536,11853824,266403,2535,3,1.0,11,11,0.3010316781152086,11,1.0,0.3010316781152086
21,203.000355,182412277.99767378,0,6779536,11853824,268659,1089,3,1.0,11,3,0.7337812743700625,11,1.0,0.7449556084975253
21,204.000266,180371123.17839012,0,7959656,11849728,264775,2376,3,1.0,11,2,0.7292535156334635,11,1.0,0.7366197127610743
21,205.000746,224287593.43787882,0,7974136,11838976,265116,2090,1,1.1,2,9,0.915970692773714,1,1.05,0.9113908393098454
21,206.001108,183434389.6681044,3,8065360,8655360,275517,3984,3,1.0,11,2,0.7396498542808523,11,1.0,0.7472707491044779
21,207.001103,97518056.2524446,0,4610432,11837440,266965,2343,2,0.9,6,6,0.3982551160068413,6,0.9,0.3982551160068413
21,208.000546,148980775.09703362,1,4610432,11855360,272883,2721,3,1.0,11,1,0.6046324870632775,11,1.0,0.6077653729762235
21,209.000926,117395896.95546651,2,5414072,11800576,269469,2196,3,1.0,11,11,0.4781165919210127,11,1.0,0.4781165919210127
21,210.000594,183561742.10765,0,5416968,11838976,265357,2352,3,1.0,11,11,0.8008561582177681,11,1.0,0.8008561582177681
21,211.001112,137292343.45876214,0,5460408,11857920,272402,8608,3,1.0,11,7,0.5989887515374387,11,1.0,0.5989887515374387
21,212.001085,149950416.79682118,1,5920872,11855360,282226,3189,3,1.0,11,11,0.6535553548662419,11,1.0,0.6535553548662419
21,213.000098,107060419.91852897,739,4598848,11060224,280164,12592,3,1.0,11,11,0.091882872900793,11,1.0,0.091882872900793
21,214.001095,161319876.58645386,170,4598848,11855360,269844,3426,1,1.2,4,4,0.5912689373664767,1,1.05,0.6020054262070941
21,215.00108,137365519.28099126,0,4598848,11822592,270116,3173,3,1.0,11,11,0.6094819791391732,11,1.0,0.6094819791391732
