location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,expected_action,action
21,139.000577,321754842.9512667,0,5293888,11855360,274240,1036,3,1.0,11,11
21,140.000967,219066936.3291029,1,10066496,7459328,276077,2211,3,1.0,11,11
21,141.000853,101723470.88504761,1,8714064,11834368,278275,1682,3,1.0,11,8
21,142.001071,158300461.1504035,2671,8356408,11834880,269184,2325,3,1.0,11,7
21,143.000782,149989718.4667786,772,7371768,11849728,331133,6052,3,1.0,11,8
21,144.000127,148995383.29685456,407,6278528,11856384,270688,1648,3,1.0,11,11
21,145.000916,192785867.02733254,0,6278528,11799040,268712,1548,1,1.15,3,3
21,146.001092,148871597.60897937,3,7371768,11862016,284892,1977,3,1.0,11,11
21,147.000745,134264320.16833234,263,5366288,11847680,274932,3173,3,1.0,11,1
21,148.001089,98532245.1624886,50,5366288,11821056,274707,2432,2,0.9,6,9
21,149.000338,228761372.02800757,0,6301696,11808768,270152,2342,3,1.0,11,4
21,150.00019,136335057.36121583,0,5366288,11843072,264629,1058,3,1.0,11,11
21,151.001083,89049439.13687535,1,5366288,11838976,266923,1890,3,1.0,11,11
21,152.000789,164674851.29921263,1,5366288,11859456,269014,1536,3,1.0,11,3
21,153.000909,179284973.95858666,0,6301696,11837440,279314,1417,3,1.0,11,11
21,154.001131,148864748.83451536,2,6304592,11848704,292052,2647,3,1.0,11,4
21,155.000372,184689556.3976994,0,6365408,11848704,263754,1218,3,1.0,11,11
21,156.000478,224371485.76994687,0,7047416,11837440,265503,2394,1,1.1,2,11
21,157.000852,92240193.89939804,693,5341672,11841536,276761,2276,2,0.9,6,2
21,158.000939,164612106.99660164,2,5332984,9804800,266033,3520,3,1.0,11,3
21,159.000059,155325935.2852177,123,5341672,11849728,269178,1611,3,1.0,11,11
21,160.000343,92248493.43811683,170,5096960,11849728,273396,3652,3,1.0,11,3
21,161.000918,167675755.42746225,0,5341672,11835904,276076,1122,3,1.0,11,11
21,162.000208,96537534.6660145,172,5094064,11853824,272317,2494,3,1.0,11,9
21,163.000543,120545859.77649069,72,5040488,11707904,269717,3220,3,1.0,11,11
21,164.000778,133137869.72513053,38,6271288,10125824,270123,1303,3,1.0,11,11
21,165.001082,180300263.66084108,1,6271288,11848704,270618,2746,3,1.0,11,8
21,166.000639,129032006.82031253,21,6284320,11855360,286653,1326,3,1.0,11,6
21,167.00065,183498787.52207136,0,6453736,11849728,278348,749,3,1.0,11,11
