dataset_flag,location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,best_action,random_action,reward_random,best_action_reward_based,best_gain_reward_based,reward_best
1,21,114.000779,90145985.0427869,0,4096392,11856896,269919,2827,3,1.0,11,11,0.6557586106350508,11,1.0,0.6557586106350508
1,21,115.00035,133226302.70370188,0,4810256,11847168,267072,1329,3,1.0,11,4,0.9497595396751892,11,1.0,0.9691423874236624
1,21,116.001085,133071338.647165,0,4814600,11816960,277193,5223,3,1.0,11,7,0.9680151157613165,11,1.0,0.9680151157613165
1,21,117.000788,136355378.90357712,0,4868176,11843072,278117,2141,3,1.0,11,10,0.9996683614435827,11,1.0,0.9996683614435827
1,21,118.000661,112211884.87286425,1,5493712,11845632,277226,1912,3,1.0,11,11,0.8217621145388937,11,1.0,0.8217621145388937
1,21,119.000277,180424350.10092866,0,11793960,11853824,283826,1759,1,1.15,3,1,0.995,1,1.05,0.995
1,21,120.001085,137252555.85737786,1,14314928,11852800,286578,2437,3,1.0,11,1,0.9703953746045629,11,1.0,0.975317703672153
1,21,121.001083,199229843.75081822,2,9291816,11859456,276941,3179,3,1.0,11,11,0.9817099029485388,11,1.0,0.9817099029485388
1,21,122.001088,93322796.7523394,877,7602000,8182272,284255,5151,2,0.9,6,4,0.10013210651996476,6,0.9,0.1178269861172449
1,21,123.00105,142611759.2062324,0,16809832,11826688,314536,1456,3,1.0,11,11,0.7863262164632847,11,1.0,0.7863262164632847
1,21,124.000507,190944514.54944953,2846,9022488,11845632,278128,1031,3,1.0,11,11,0.5007667073459361,11,1.0,0.5007667073459361
1,21,125.000817,224325735.54993656,1,9022488,11837440,276897,3280,3,1.0,11,10,0.9994879411898232,11,1.0,0.9994879411898232
1,21,126.00012,172086411.10513732,0,9008008,11803136,274445,4156,3,1.0,11,8,0.8583521038286889,11,1.0,0.8583521038286889
1,21,127.000375,186598947.38251838,506,8001648,11815424,272339,5613,3,1.0,11,11,0.6925831612084501,11,1.0,0.6925831612084501
1,21,128.000303,183514013.45140037,0,8001648,11845632,273189,4556,3,1.0,11,11,0.9153519938992636,11,1.0,0.9153519938992636
1,21,129.000133,189824524.7354413,2,8816872,11849728,270064,2746,3,1.0,11,6,0.9458041607045392,11,1.0,0.9458041607045392
1,21,130.000422,220137348.38142437,0,9396072,11827712,279402,6360,3,1.0,11,11,0.9990495918747814,11,1.0,0.9990495918747814
1,21,131.0008,229551370.6764146,0,9414896,11853824,273488,1895,3,1.0,11,11,1.0,11,1.0,1.0
1,21,132.000132,274910549.2927382,0,9611824,11834880,274135,1109,1,1.05,1,1,0.995,1,1.05,0.995
1,21,133.000652,228470765.27633768,0,8478040,11857920,278322,2331,3,1.0,11,5,0.9609164021043785,11,1.0,0.9855552842096189
1,21,134.001097,120532601.99435653,3,8476592,11849728,270518,2692,2,0.9,6,2,0.5132063912948807,6,0.9,0.5184058111274966
1,21,135.000591,208772259.3872978,0,8473696,11857920,265308,1525,3,1.0,11,8,0.9005817579621965,11,1.0,0.9005817579621965
1,21,136.001094,228474658.04327244,1,9959344,11852800,272826,4668,3,1.0,11,2,0.975204296879709,11,1.0,0.9850600176442533
1,21,137.00006,224627533.671806,0,9978168,11806208,274050,1725,3,1.0,11,11,0.968976720156987,11,1.0,0.968976720156987
1,21,138.000086,277865418.93765825,0,10243152,11853824,277492,1343,3,1.0,11,6,1.0,11,1.0,1.0
1,21,139.000577,321754842.9512667,0,5293888,11855360,274240,1036,3,1.0,11,7,1.0,11,1.0,1.0
1,21,140.000967,219066936.3291029,1,10066496,7459328,276077,2211,3,1.0,11,8,0.7817025461476855,11,1.0,0.7817025461476855
1,21,141.000853,101723470.88504761,1,8714064,11834368,278275,1682,3,1.0,11,6,0.36270836106073073,11,1.0,0.36270836106073073
1,21,142.001071,158300461.1504035,2671,8356408,11834880,269184,2325,3,1.0,11,6,0.18520666134108854,11,1.0,0.18520666134108854
1,21,143.000782,149989718.4667786,772,7371768,11849728,331133,6052,3,1.0,11,7,0.395426148920958,11,1.0,0.395426148920958
1,21,144.000127,148995383.29685456,407,6278528,11856384,270688,1648,3,1.0,11,11,0.3133490211149417,11,1.0,0.3133490211149417
1,21,145.000916,192785867.02733254,0,6278528,11799040,268712,1548,1,1.15,3,3,0.6780481093816122,1,1.05,0.6849318465326946
1,21,146.001092,148871597.60897937,3,7371768,11862016,284892,1977,3,1.0,11,2,0.5207148445464179,11,1.0,0.5298423744944746
1,21,147.000745,134264320.16833234,263,5366288,11847680,274932,3173,3,1.0,11,11,0.332379209243184,11,1.0,0.332379209243184
1,21,148.001089,98532245.1624886,50,5366288,11821056,274707,2432,2,0.9,6,9,0.32305393979298397,6,0.9,0.32305393979298397
