state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,actions,rewards,dones
4.0,26.0,33.001411,0.0,13.0,73848.0,1987584.0,162006.0,6595.0,11,-0.2847444739656076,0
4.0,26.0,34.0013,8389539.10333743,0.0,73848.0,1987584.0,162589.0,3852.0,10,0.993723557676318,0
4.0,26.0,35.001287,0.0,0.0,73848.0,1990144.0,162498.0,4460.0,11,0.0,0
4.0,26.0,36.001226,7340479.589792035,3.0,62264.0,1991680.0,166499.0,5814.0,5,0.7709567595119978,0
4.0,26.0,37.00131,0.0,1.0,62264.0,1990144.0,162940.0,2537.0,11,-0.0275962367624857,0
4.0,26.0,38.001267,0.0,0.0,62264.0,1990144.0,161216.0,5453.0,11,0.0,0
4.0,26.0,39.001286,8388449.003013673,1.0,55024.0,1988608.0,158003.0,3175.0,11,0.9650796894289644,0
4.0,26.0,40.001213,0.0,1.0,55024.0,1988608.0,162500.0,4863.0,11,-0.0349081507238091,0
4.0,26.0,41.001276,0.0,0.0,57920.0,1990144.0,161094.0,4457.0,3,-0.0045440386262752,0
4.0,26.0,42.001392,7339180.723740078,0.0,66608.0,1988608.0,171101.0,10002.0,11,0.8749044641967822,0
4.0,26.0,43.001255,0.0,0.0,162176.0,1990144.0,172332.0,3501.0,11,0.0,0
4.0,26.0,44.00132,8388063.03540584,5.0,114392.0,1988608.0,173854.0,3442.0,1,0.7993391290490429,0
4.0,26.0,45.001119,0.0,4.0,110048.0,1990144.0,174004.0,5579.0,11,-0.1595202501085133,0
4.0,26.0,46.001413,7337874.884127586,8.0,104256.0,1990144.0,200304.0,17940.0,11,0.5471658955315921,0
4.0,26.0,47.001311,0.0,5.0,88328.0,1990144.0,170642.0,5944.0,11,-0.2271860219039707,0
4.0,26.0,48.00112,8390210.305997634,2.0,88328.0,1990144.0,173187.0,6753.0,11,0.8935456389960372,0
4.0,26.0,49.001139,0.0,0.0,108600.0,1990144.0,178749.0,5475.0,11,0.0,0
4.0,26.0,50.001366,8386704.4320613565,6.0,73848.0,1990144.0,181525.0,22056.0,11,0.7142783482695063,0
4.0,26.0,51.001286,0.0,3.0,72400.0,1990144.0,169811.0,2404.0,11,-0.1567058741547219,0
4.0,26.0,52.00126,7340222.754957268,1.0,86880.0,1990144.0,172982.0,4536.0,11,0.8210776757114244,0
4.0,26.0,53.000646,0.0,2.0,114392.0,1990144.0,175790.0,3379.0,11,-0.1372343109050463,0
4.0,26.0,54.001418,0.0,14.0,98464.0,1990656.0,192904.0,16904.0,11,-0.4530575402220931,0
4.0,26.0,55.001298,8389614.62077854,3.0,94120.0,1988608.0,166839.0,6323.0,11,0.8440772062726611,0
